acpi 1.7-3
torsocks 2.3.0-2
trash-cli 0.21.10.24-3
tree 2.0.2-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-liberation 2.1.5-1
ttf-ms-fonts 2.0-12
ttf-nerd-fonts-symbols 2.1.0+36+gd0bf73a1-4
ttf-ubuntu-font-family 0.83-8
tty-clock 2.3-1
tumbler 4.16.0-3
tuxpaint 0.9.27-1
tuxpaint-stamps 2021.11.25-1
typescript-language-server 0.9.7-1
ueberzug 18.1.9-3
unrar 1:6.1.6-1
update-grub 0.0.1-7
upower 0.99.17-1
uutils-coreutils 0.0.13-1
v4l2loopback-dkms 0.12.5-2
valgrind 3.18.1-4
vc 1.4.2-1
vdpauinfo 1.4-2
vifm 0.12-1
vim 8.2.4651-1
virtualbox 6.1.32-2
vkd3d 1.3-1
vlc 3.0.17.3-1
vlc-arc-dark-git r8.89fe85c-1
volumeicon 0.5.1-5
vscodium-bin 1.66.0-1
vscodium-bin-marketplace 1.56.0-6
vulkan-extra-tools 1.3.204.1-1
vulkan-radeon 22.0.1-3
wdiff 1.2.2-4
wezterm 20220319.142410.0fcdea07-1
wget 1.21.3-1
whois 5.5.13-1
wine 7.6-1
wine-gecko 2.47.2-3
wine-mono 7.2.0-1
winetricks 20220328-1
words 2.1-6
wqy-zenhei 0.9.45-9
wtf 20200613-1
xbindkeys 1.8.7-2
xclip 0.13-3
xcursor-bluecurve 0.1.1-7
xcursor-breeze 1:5.22.5-1
xcursor-comix 0.9.2-1
xcursor-flatbed 0.4-3
xcursor-neutral 1.13a-9
xcursor-pinux 0.3-13
xcursor-premium 0.3-10
xcursor-simpleandsoft 0.2-9
xcursor-themes 1.0.6-2
xcursor-vanilla-dmz 0.4.5-2
xcursor-vanilla-dmz-aa 0.4.5-2
xdg-user-dirs 0.17-3
xdotool 3.20211022.1-1
xf86-input-wacom 1.0.0-1
xf86-video-amdgpu 22.0.0-1
xorg-server 21.1.3-6
xorg-twm 1.0.12-1
xorg-xev 1.2.4-1
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xournalpp 1.1.1-1
xsel 1.2.0.20200527-1
xsnow-bin 3.4.2-2
xvkbd 4.1-1
xzoom 0.3-6
yacreader 9.8.2-1
youtube-dl 2021.12.17-1
yt-dlp 2022.04.08-1
zathura 0.4.9-1
zathura-cb 0.1.9-1
zathura-pdf-mupdf 0.3.8-1
zellij 0.27.0-1
zip 3.0-10
zoxide 0.8.0-1
zsh 5.8.1-1
zsh-doc 5.8.1-1
